location,address,price,title,facilities,description_text,ad_url,id,num,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,tomt,bruttoareal,boligselgerforsikring,formuesverdi,rom,tomteareal,fellesformue,festeavgift,kommunale_avg,renovert_ar,sikringsordning,grunnflate,solgtpris,utleiedel,new_building
Oppsal v/ Østmarka,"Skøyenkroken 5, 0686 Oslo",4000000,Lekker og moderne 3-roms med god standard og kort avstand til Østmarka. Fyring inkl. i fellesutgiftene.,"Balkong/Terrasse, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning, Lademulighet"," Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding 3-roms andelsleilighet med attraktiv beliggenhet i blokkens 3. etasje med utsyn over borettslagets fellesområder. Det er et godt utvalg tur og rekreasjonsmuligheter i umiddelbar nærhet, servicetilbud og gode kollektivtilbud via buss og T-bane.Leiligheten holder en svært god gjennomgående standard med 1-stavs hvitpigmentert eikeparkett på gulv og malte vegg og himlingsflater fra 2017-2021. Boligen har et praktisk utformet kjøkken med god skap- og benkeplass, møbleringsvennlig stue med utgang til balkong, delikat flislagt baderom med opplegg for vaskemaskin og en sydvendt balkong på hele 9 m² med gode solforhold.- Leiligheten disponerer 2 boder på totalt 15 m²- Fyring inkludert i fellesutgifter- Nye vinduer og balkongdør i 2019- Sikringsskap med automatsikringer (El-sjekk ble utført i 2021) Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208670276,208670276,NA,61000,15554,4076554,3498,Leilighet,Andel,2,64,64,3,1955,F-mørkegrønn,NA,71,Ja,914147,3,46200,8260,NA,NA,NA,NA,NA,NA,NA,FALSE
Åsbråten,"Dyretråkket 2, 1251 Oslo",3290000,En stor og fin 4-roms leilighet - V.vann og fyring inkl. (A-konto) - Gode solforhold - Nærhet til Hvervenbukta,"Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," Søn. 7. mars 13:00 - 14:00 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding John-Andrè Rasmussen fra Eiendomsmegler 1 - Oslo Syd har gleden av å presentere Dyretråkket 2! En stor og fin 4-roms leilighet med sydvendt balkong på ca 14 m² samt en nordvendt balkong på ca 7 m² medbod på ende på ca 2 m², med utsyn over nærområdet og gode solforhold! Boligen har en sentral beliggenhet på Åsbråten, et rolig og trygt boligområde på Holmlia. Leiligheten er perfekt for barnefamilier som ønsker å bo i et godt og trygt nabolag med meste av urbane fasiliteter tilgjengelig, samt naturskjønne områder rett i nærheten. Etter ca. 15 minutters gange på asfalterte gangveier kommer man til Holmlia Senter med det mest Verdt å merke seg: - Ingen gjenboere - Gode solforhold- Rolige omgivelser - Egen biloppstillingsplass- Nærhet til Åsbråten TorgVelkommen til visning! Søn. 7. mars 13:00 - 14:00 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208350090,208350090,NA,167515,1164,3458679,6799,Leilighet,Andel,3,93,96,4,1987,G-mørkegrønn,NA,105,NA,963985,4,13492,20190,NA,NA,NA,NA,NA,NA,NA,FALSE
,"Havreveien 63, 0680 Oslo",4590000,Rålekker toppleilighet med vestvendt balkong | Pusset opp i 2018-2021 | Peis | Mulighet til 3 soverom | Bør sees,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Husdyr, tillatt, Kabel-TV, Peis/Ildsted, Rolig, Turterreng","Video Ta kontakt for å avtale visning Visningspåmelding Renee B. Løkke v/ Nordvik Østensjø har gleden av å presentere en delikat, lys og flott 3-roms. Her får ny eier glede av mange gode kvaliteter som gjør at man kan flytte rett inn:- Delikat og stilren 3-roms leilighet i 3.etg- Godkjenning fra borettslaget av omgjøring til 3 soverom- Omfattende oppusset i 2020- Rålekkert baderom (utvidet)- Romslig stue med ny peisovn- Tidløst kjøkken med hvitevarer som medfølger- Gjennomgående, nytt 1-stavs laminatgulv- Usjenert beliggenhet med flotte lys- og solforhold- Solrik, vestvendt balkong på ca. 6,4 kvm- Leiligheten er malt i tidsriktige og freshe farger- 1 kjellerbod- Varmtvann inkl.- Barnevennlig beliggenhet i enveiskjørt gate med stort grøntareal i umiddelbarnærhet- Kort vei til T-bane, buss, Manglerudsenter mm. Ta kontakt for å avtale visning Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208643004,208643004,NA,66000,15526,4671526,4294,Leilighet,Andel,2,67,67,3,1963,E-rød,NA,73,NA,934952,3,10894,11467,NA,NA,NA,NA,NA,NA,NA,FALSE
# Grünerløkka,"Conradis gate 3 A, 0559 Oslo",3800000,"Lekker, gjennomgående 2 (3)-roms | God takhøyde | Kjøkken 2014 | Integ. hvitevarer |  Varmtvann inkl | Rolig beliggenhet","Peis/Ildsted, Parkett, Barnevennlig, Rolig, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning"," Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Velkommen til Conradis gate 3 A!Lekker 2-roms med god og gjennomgående planløsning perfekt beliggende i 3. etg i rolig miljøgate på GrünerløkkaLeiligheten kan ombygges til 3-roms, se alternativ plantegningSvært lys og luftig stue med 2,81 m takhøyde og 2 store vinduer med dype karmer som gir gode lysforhold, flott utsikt og en åpen, luftig atmosfærePipeløp med mulighet for vedovnLys, pen kjøkkeninnredning fra 2014Integrert stekeovn, induksjonstopp og oppvaskmaskin. Vaskemaskin og kjøl-/ fryseskap medfølgerKjøkkenet har plass til mindre spisebordPent, tidsriktig bad/WCSoverommet vender mot rolig, trafikkstille miljøgateSikringsskap med automatsikringerKun kr 2.980,- i f.utgVarmtvann og fiberbredbånd inklHusdyr er tillattMulighet for hurtig overtagelse Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208664500,208664500,NA,96216,15759,3911975,2980,Leilighet,Andel,1,44,44,3,1896,F-rød,NA,NA,NA,840907,2,427,12797,NA,NA,NA,NA,NA,NA,NA,FALSE
Lambertseter,"Vaskeribakken 6, 1154 Oslo",4000000,Moderne og usjenert 3-roms toppleilighet | Omfattende oppgradert i 2019 | Solrik balkong med flott utsyn,"Balkong/Terrasse, Peis/Ildsted, Ingen, gjenboere, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste"," Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding PrivatMegleren har gleden av å presentere Vaskeribakken 6. Dette er en moderne og innbydende 3-roms toppleilighet med attraktiv beliggenhet. Leiligheten er påkostet i 2019 med nytt kjøkken med integrerte hvitevarer, nye overflater i alle rom med slette veggflater og 1-stavs laminat. Stue med peisovn og utgang til balkong på ca. 7 m² med gode solforhold ettermiddag og kveld, og flott utsyn over stille grøntareal. Videre har boligen to gode soverom, en innbydende entré og flislagt bad med varmekabler i gulv. Boligen ligger med nærhet til alt av fasiliteter som T-banestasjon, dagligvareforretning og Lambertseter Senter. Flytt rett inn - nyoppusset i 2019!Flott og usjenert beliggenhet i toppetasjeNytt kjøkken med integrerte hvitevarerRomslig stue med peisovnRask avklaring av forkjøpsrett! Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208664375,208664375,NA,119000,15554,4134554,3106,Leilighet,Andel,NA,64,64,4,1952,NA,NA,71,Ja,980933,NA,76591,19972,NA,NA,NA,NA,NA,NA,NA,FALSE
# Parkside på Grünerløkka,"Helgesens gate 42A, 0553 Oslo",5400000,"Rålekker og klassisk 3-roms med spesialtegnede løsninger! Gjennomgående planløsning. Moderne vedovn, stukkatur & rosett.","Peis/Ildsted, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Velkommen til Helgesens gate 42A!En vesentlig påkostet og gjennomført 3-roms.En leilighet hvor det klassiske møter det moderne!Spesialtegnede og håndlagde løsninger.Leiligheten har nytt el-anlegg i 2020.Stilrent kjøkken med waterguard-system.Parkutsikt med gode lysforhold.Gjennomførte detaljer i hele leiligheten.Alle hvitevarer medfølger i salget.Velbevarte detaljer som rosett og stukkatur.Sjarmerende original perlepanel på hovedsoverom.Moderne vedovn for kalde dager.Bad med ny innredning og italienske terrazzo-fliser.Gjennomførte oppbevaringsløsninger.Nyere vinduer fra 2002.Leiligheten diponerer kjellerbod på 10 kvm.Veldrevet og hyggelig borettslag.Parkmessige fellesareal.Ingen dokumentavgift.Nærhet til alle service- og kollektivmuligheter.Velkommen til visning! Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208663600,208663600,NA,80205,15503,5495708,3266,Leilighet,Andel,2,60,60,2,1890,G-oransje,NA,65,NA,1058699,3,1946,37998,NA,NA,NA,NA,NA,NA,NA,FALSE
# Grünerløkka,"Conradis gate 3 B, 0559 Oslo",4500000,"Lys, luftig og klassisk 3 (4)-roms | God takhøyde / rosett | Kjøkken 2019 |  Peis | Varmtv/fibernett | Sentralt og rolig","Peis/Ildsted, Barnevennlig, Rolig, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning"," Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Velkommen til Conradis gate 3 B!Lys, luftig og gjennomgående 3-roms med sentral og rolig beliggenhet i rolig gatetun på GrünerløkkaKlassisk leil. med rosett, tregulv, takhøyde på ca. 2,82 meter og store vindusflater med dype karmerLeiligheten kan ombygges til 4-roms, se alternativ plantegningEffektiv vedovn (ny 2019)Lys, pen kjøkkeninnredning, ny 2019Integrert stekeovn, koketopp, oppvaskmaskin, micro og kjøl-/ fryseskapVannstopper er montert, gulv avrettet og ny parkett i kjøkken 2019Stort, romslig bad/WC med opplegg for vaskemaskinTo soverom av god størrelse vendt mot rolig gårdsromAlle vinduene i gården ble skiftet 2015/16Varmtvann og fibernett er inkl. i fellesutgifterBoligen har noe behov for modernisering av overflaterSvært god planløsningHusdyr er tillatt Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208659917,208659917,NA,130045,15759,4645804,3908,Leilighet,Andel,2,62,62,NA,1896,G-oransje,NA,NA,NA,1058699,3,427,17296,NA,NA,NA,NA,NA,NA,NA,FALSE
# Beste Grünerløkka,"Fossveien 23 B, 0551 Oslo",3850000,"Klassisk, gjennomgående 2-roms selveier | Oppussingsobjekt | 3 meter takhøyde | Rundovn | Lav husleie | Varmtvann inkl","Peis/Ildsted, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning"," Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding Velkommen til Fossveien 23 B!Lys, luftig og gjennomgående 2-roms selveiet oppussingsobjekt i en av Grünerløkkas aller beste gaterLeiligheten har klassiske detaljer som store vinduer med dype karmer, god takhøyde, stukkatur, panel og tregulvTakhøyden i stue er målt til 3,01 meterFlott, klassisk rundovnKun kr 2.839,- pr mnd i fellesutgifterVarmtvann inklIngen fellesgjeldKabel-tv og bredbåndstjenester leveres av GetSvært god og gjennomgående planløsningFlott utsikt i begge retningerStor, luftig stue med klassisk stukkaturSoverom med praktisk hemsKjøkkeninnredning er fjernet for enkel montering av nytt kjøkkenStort, eldre bad med opplegg for vaskemaskinDyrehold er tillattUtleie er tillattHer kan du skape drømmeleiligheten! Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208659921,208659921,NA,NA,115889,3965889,2839,Leilighet,Eier(Selveier),1,46,46,2,1894,F-oransje,NA,NA,NA,883119,2,381,8111,NA,NA,NA,NA,NA,NA,NA,FALSE
MAJORSTUEN / NYE MAJOR,"Sørkedalsveien 11C, 0350 Oslo",3700000,Lys og pen 2-roms med attraktiv beliggenhet - Heis - Vestvendt balkong - Lave felleskostnader - Á-konto varmtvann,"Balkong/Terrasse, Bredbåndstilknytning, Heis, Kabel-TV, Offentlig, vann/kloakk, Parkett, Sentralt"," Ta kontakt for å avtale visning Visningspåmelding Velkommen til denne flotte 2-rom selveierleiligheten i populære Nye Major fra 2008. Leiligheten har en sentral og attraktiv beliggenhet på Majorstuen med kort vei til alt Oslo har å by på. Leiligheten har en god planløsning og består av entré, åpen stue- og kjøkkenløsning, soverom og flislagt bad. Leiligheten har også utgang til balkong og store vindusflater som slipper inn rikelig med naturlig dagslys.Kvaliteter: - Á-konto varmtvann inkludert i felleskostnadene- Vestvendt balkong- Heis i bygget- Nybygg fra 2008- Ingen forkjøpsrett- Herlige uteområder, felles for beboerne- Opplegg for vaskemaskin og tørketrommel- Gulvoverflater er belagt med parkett - Kjellerbod på ca. 5,5 kvm- Effektiv planløsning- Veldrevet sameie- Attraktiv beliggenhet- Kort vei til kollektivtransport Ta kontakt for å avtale visning Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208503308,208503308,NA,NA,99642,3799642,1729,Leilighet,Eier(Selveier),1,32,32,2,2008,C-rød,NA,36,NA,925888,2,2542,10823,NA,NA,NA,NA,NA,NA,NA,FALSE
Bislett,"Dalsbergstien 20B, 0170 Oslo",4800000,Lys og innbydende 2-roms endeleilighet i sjarmerende løkkehus | Gjennomgående løsning | Vedovn | Supersentralt,"Offentlig, vann/kloakk, Peis/Ildsted, Rolig, Sentralt","360° visning Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding Dalsbergstien 20BLeiligheten ligger i 2. etasje av et meget sjarmerende hus, avskjermet i bakgården til en klassisk bygård i sentrale og attraktive omgivelser. Planløsningen er romslig og gjennomgående med vinduer på tre kanter. Interiøret har klassiske detaljer som god himlingshøyde og dype karmer, komplementert av duse og tidsriktige farger. Det er lett å føle seg hjemme her, og overalt er du omgitt av koselige parker, kafeer og restauranter.Kort fortalt:- Meget sjarmerende hus i skjermet bakgård- Romslig 2-roms på enden av bygget- Lys og gjennomgående planløsning- Klassiske dype vinduskarmer- Himlingshøyde på hele 2.8 m- Vedovn i stuen- Pent kjøkkenrom med spiseplass- Bad med opplegg for vaskemaskin- Stort og lunt soverom- To medfølgende boder- Supersentral beliggenhet Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208279526,208279526,NA,67000,124294,4991294,1989,Leilighet,Eier(Selveier),1,58,58,2,1834,NA,NA,65,NA,1174380,2,1068,1421,NA,NA,NA,NA,NA,NA,NA,FALSE
ETTERSTAD,"Etterstadsletta 84, 0659 Oslo",6950000,MEGET FLOTT 4-ROMS TOPPLEILIGHET MED 2 TERRASSER - 2 BADEROM - GARASJE - MEGET BARNEVENNLIG,"Balkong/Terrasse, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 7. mars 1400 - 1415 + Legg til i kalender Søn. 7. mars 1415 - 1430 + Legg til i kalender Søn. 7. mars 1430 - 1445 + Legg til i kalender Søn. 7. mars 1445 - 1500 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Velkommen til Etterstadsletta 84!En meget tiltalende 4-roms toppleilighet med særdeles flott intern beliggenhet. Hele leiligheten er modernisert i 2013 og har pene flater og moderne løsninger. Leiligheten har en meget arealeffektiv planløsning og egner seg godt for både yngre og eldre. Boligen fremstår som klar til innflytting.Denne leliigheten kort oppsummert:*Meget pen 4-roms toppleilighet*Veranda 8,6m² & stor terrasse 11,7m² rehabilitert i 2019*Garasjeplass i felles garasjeanlegg*2 baderom, begge modernisert i 2013 *Moderne kjøkken fra 2013 med nye fronter i 2021*Taket er rehabilitert/tekket om i 2013*Store grøntarealer*Barnevennlig boområde*Skjermet og rolig beliggenhet*God offentlig kommunikasjon (Buss/T-bane/tog)*Sentrumsnært Søn. 7. mars 1400 - 1415 + Legg til i kalender Søn. 7. mars 1415 - 1430 + Legg til i kalender Søn. 7. mars 1430 - 1445 + Legg til i kalender Søn. 7. mars 1445 - 1500 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208657170,208657170,NA,167835,189462,7307297,4293,Leilighet,Eier(Selveier),3,94,94,4,1984,F-rød,NA,103,NA,1372948,4,22180,9004,NA,NA,NA,NA,NA,NA,NA,FALSE
ST. HANSHAUGEN rett v/ parken,"Herman Foss` gate 4 E, 0171 Oslo",3490000,"Rålekker, arkitekttegnet 2-R leilighet m/ synlig teglstein, stort bad og KVIK-kjøkken. Egen uteplass og inngangsparti.","Balkong/Terrasse, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding HERMAN FOSS GATE 4EPresentert av Vilde NaddenRålekker, arkitekttegnet 2-roms leilighet beliggende i en meget attraktiv gate. Hele leiligheten ligger i indre gårdsrom, og har en egen inngangsdør med liten uteplass foran. Dette er en sjelden mulighet på St. Hanshaugen!Leiligheten var ny i 2015 og holder en gjennomgående god standard. Leiligheten har blant annet 1-stavs parkett, downlights, kjøkken fra Kvik og gulvvarme. Leiligheten ligger i en eldre klassisk bygård - kombinasjonen av det moderne mot det rustikke og klassiske er uslåelig.- Stort bad fra 2015- Balansert ventilasjon- Opplegg til vaskemaskin- Eget inngangsparti- Enstavs parkett- KVIK-kjøkken- Synlig teglstein- Store vinduer- Gulvvarme på bad og stue/kjøkken- Mulig med rask overtakelse- Stor bod på ca. 7 kvm Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208651435,208651435,NA,52188,8032,3550220,1628,Leilighet,Andel,1,26,26,NA,1895,G-rød,NA,NA,Ja,749845,2,1024,4552,NA,NA,NA,NA,NA,NA,NA,FALSE
Torshov | Grefsen Stasjon,"Hans Nordahls gate 36, 0485 Oslo",10990000,Eksklusiv 5-roms med mulighet for egen hybeldel* og sydvest-vendt balkong | Ferdigstilt 2019 | Garasjeplass med lader,"Balkong/Terrasse, Barnevennlig, Garasje/P-plass, Heis, Ingen, gjenboere, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Lademulighet"," Søn. 7. mars 14:00 - 15:00 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding Velkommen til Hans Nordahls gate 36.Dette er en eksklusiv 5-roms selveier i tidsmessig og meget god stand. I denne lekre leiligheten får du meget høy kvalitet og detaljer som store vindusflater, balkong med hyggelig utsikt samt mulighet for å lage en privat utleieenhet i leiligheten. Heisen tar deg praktisk ned til garasjeanlegget hvor du også har din private parkeringsplass.Kort fortalt:- 11 m² sydvest-vendt balkong- Gjennomgående planløsning- To store medfølgende kjellerboder- Høy standard på fasiliteter og utstyr- Meget tiltalende og eksklusivt interiør- Garasjeplass med elbil-lader i lukket anlegg følger, også mulighet for kjøp av ekstra g.plass- Boligen kan lage egen hybeldel med privat inngang om ønskelig. Se alternativ plantegning. Ta kontakt for å avtale visning Søn. 7. mars 14:00 - 15:00 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=195446747,195446747,NA,NA,276124,11266124,5120,Leilighet,Eier(Selveier),4,122,125,5,2019,NA,NA,136,NA,2230918,5,865,12396,NA,NA,NA,NA,NA,NA,NA,FALSE
Ullern/Åsjordet,"Ullern allé 49, 0381 Oslo",12500000,"Nyoppusset (2020/21) familieleilighet med svært god beliggenhet og flott utsikt. To balkonger, to bad, parkering, peis.","Balkong/Terrasse, Peis/Ildsted, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet"," Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Dette er en stor og lys leilighet som har blitt omfattende oppusset i 2020/21 og fremstår helt innflytningsklar. Leiligheten er gjennomgående i bygget og har en terrasse på hver side med flott utsikt til store og flotte fellesareal.I oppussingen av boligen har selger lagt vekt på bruk av kvalitetsmaterialer og tidløse fargevalg i tillegg til en fleksibel romfordeling hvor man enkelt kan veksle mellom bruken av rommene. Boligen har blant annet gjennomgått oppgradering av el-anlegg, fått helt nye eikegulv, ny belysning, sparklet og malt alle overflater i tillegg til oppgradering av innervegger og listverk, bygget 2 nye bad, fliser og innredning i gang, nye dører, nytt kjøkken, ny peis og installert nye garderober. Kjøkkenet er fra HTH med hvitevarer fra blant annet AEG, Miele og Bora. Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=205208736,205208736,NA,51718,312812,12864530,4929,Leilighet,Eier(Selveier),3,152,152,3,1982,E-oransje,NA,160,Ja,2289235,NA,43595,88327,NA,NA,NA,NA,NA,NA,NA,FALSE
